              lesson_id               | tech_quality 
--------------------------------------+--------------
 6d8e59d9-a7c8-4bb3-8ff3-99cd07acdf1a |            5
 62e1a078-33de-47c1-99d2-845b1daca56f |            5
 62e1a078-33de-47c1-99d2-845b1daca56f |            5
 00fc6685-f53a-49bb-b960-5e0042fd3852 |            5
 00fc6685-f53a-49bb-b960-5e0042fd3852 |            5
 4cadf623-82e6-422f-a342-acf978302fb2 |            5
 e597a79a-3f68-4d15-bc77-c7000bcf8e52 |            5
 44e2e74c-8481-41a2-bd64-f6af688169b7 |            5
 ea6f0bf3-bcfc-4555-9b16-cc2cfe722e17 |            5
 7d56b43a-d137-446d-8570-8d7d5ccbaee9 |            5
 38a8b0ea-ff54-42cf-ab5b-742700ffcd0a |            5
 38a8b0ea-ff54-42cf-ab5b-742700ffcd0a |            5
 b1a122d7-b1c3-43c9-86e1-ec5e40456a3b |            5
 b1a122d7-b1c3-43c9-86e1-ec5e40456a3b |            5
 d8816fa1-dd30-4a4b-8bd1-32285dec279f |            5
 d8816fa1-dd30-4a4b-8bd1-32285dec279f |            5
 7c60dff9-7145-4a89-8310-e5ad951f7758 |            5
 7c60dff9-7145-4a89-8310-e5ad951f7758 |            5
 59e1a7df-46bf-4415-a711-67912df0f64a |            2
 d55749ed-5c0f-45f0-ad82-d3f908b31750 |            5
 d55749ed-5c0f-45f0-ad82-d3f908b31750 |            5
 68b78f3c-8ec7-43e6-97df-3b667b692735 |            5
 68b78f3c-8ec7-43e6-97df-3b667b692735 |            5
 e81fb3ec-cc64-4b68-bf37-3166fdf9cc4b |            5
 e81fb3ec-cc64-4b68-bf37-3166fdf9cc4b |            4
 546846b7-c712-462e-b085-3d49f178f156 |            4
 546846b7-c712-462e-b085-3d49f178f156 |            5
 7cfeb47b-e82a-451a-8fa5-b1ad04ab0d32 |            5
 809b1ff3-1bd8-40df-8d1d-a02fd4663fc1 |            5
 472f43db-d10f-4724-822f-13109a46ef57 |            4
 472f43db-d10f-4724-822f-13109a46ef57 |            4
 e4bceee9-afd9-49da-b02e-b9fed1c2edee |            5
 532375c0-6e91-493c-9ebd-dcbfbb3650ce |            5
 f197bc6a-96b6-4400-8f44-b0ad845b51ce |            5
 f197bc6a-96b6-4400-8f44-b0ad845b51ce |             
 2354a2f2-fecc-4be0-8be6-983beb58f4b1 |            4
 cfcdf998-010e-4779-b023-7aafa6da7196 |            5
 cfcdf998-010e-4779-b023-7aafa6da7196 |            5
 1721ee8e-5c4d-4bfc-82e2-42a6a13938cc |             
 5fdde4b2-a2a5-4c5a-b5f6-0c6a4b798db5 |            3
 e71bb14c-4065-4636-b458-ba8f3b02b7a3 |            5
 8a1b5817-e69e-4da2-b590-4c952c63e709 |            5
 0f508f97-931f-430c-92dd-f1ba004c9f21 |             
 0f508f97-931f-430c-92dd-f1ba004c9f21 |            5
 883e272f-c15b-4bf7-8066-f4a8e1862249 |            5
 3123485b-f8ad-49ac-9636-6d5534f04f8b |             
 05a93eb6-a458-44ef-afa6-3a0097319908 |             
 05a93eb6-a458-44ef-afa6-3a0097319908 |            5
 388d7bef-cb56-4af0-a976-7b9afdeaf893 |            5
 1f88bf01-002d-45f8-86cc-923014f15561 |            5
 941e81ec-d2ec-4bc3-83dc-3f29e252eed5 |            5
 0fffa174-fd7c-4266-ba9a-0ad5702853b3 |            4
 dc341ca4-5ae8-4110-be89-c4763414f98e |            5
 dc341ca4-5ae8-4110-be89-c4763414f98e |            5
